CHAT: Jun 06 08:51:42 {name  = "Griffin 1-1 | LDragon", ucid = "64b8bfe9a98179a6ae5de97883f50cda", ip = "49.51.136.204:61444", id = 9} said "and, the rwy is incredibly short" to all
CHAT: Jun 06 08:52:24 {name  = "Griffin 1-1 | LDragon", ucid = "64b8bfe9a98179a6ae5de97883f50cda", ip = "49.51.136.204:61444", id = 9} said "I almost crash for not wanting to use my brake" to all
CHAT: Jun 06 08:53:22 {name  = "Phenex", ucid = "582d035d54843ee4fbc87c27340952ff", ip = "81.242.131.84:53217", id = 10} said "I'm going to take care of this Tu22 south-west of Ramat" to all
CHAT: Jun 06 08:53:49 {name  = "Phenex", ucid = "582d035d54843ee4fbc87c27340952ff", ip = "81.242.131.84:53217", id = 10} said "I mean west only*" to all
CHAT: Jun 06 08:57:24 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:54015", id = 2} said "I am going to start working on that SA-10 at King Hussein" to all
CHAT: Jun 06 08:59:06 {name  = "Janitor 1-1 Father Earth", ucid = "171987a226faa63cfdfbd1dc2ebf1d5d", ip = "104.32.18.28:61298", id = 3} said "same ima see what jeff gets then go for the tunguska" to all
CHAT: Jun 06 09:06:18 {name  = "Phenex", ucid = "582d035d54843ee4fbc87c27340952ff", ip = "81.242.131.84:53217", id = 10} said "the dude that is going to  strike king hussein need some tald?" to all
CHAT: Jun 06 09:08:07 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:54015", id = 2} said "wow we really steam rolled them at the end there" to all
CHAT: Jun 06 09:15:01 {name  = "Griffin 1-1 | LDragon", ucid = "64b8bfe9a98179a6ae5de97883f50cda", ip = "49.51.136.204:61444", id = 9} said "inbound OS69, damaged" to all
CHAT: Jun 06 09:21:08 {name  = "Phenex", ucid = "582d035d54843ee4fbc87c27340952ff", ip = "81.242.131.84:53217", id = 10} said "Is Tha'lah Eligible to be captured?..." to all
CHAT: Jun 06 09:22:45 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:54015", id = 2} said "im winchester but only 3 ground targets left... im sticking around for the party" to all
CHAT: Jun 06 09:23:30 {name  = "Wagu", ucid = "830910a93520c961f509e2cd140297eb", ip = "80.193.168.108:50370", id = 13} said "Where are you?" to all
